# girsa-ref citation regression corpus. GENERATED by
# girsa-corpus/examples/measure-resolver.rs from Sefaria's link CSVs and
# Otzaria's heRefs. Every line is a citation that genuinely appears in the
# corpus. Do not hand-edit — regenerate.
# source	citation
sefaria	Midrash Tanchuma, Balak 2:1
sefaria	A Dictionary of the Talmud, גֵּיתֵי 1
sefaria	Yevamot 47b:5
sefaria	A Dictionary of the Talmud, גֵּרֵר 1
sefaria	Mishnah Bekhorot 7:5
sefaria	A Dictionary of the Talmud, גֶּסֶס 1
sefaria	Aramaic Targum to Proverbs 21:5
sefaria	A Dictionary of the Talmud, גַּבֵּר 1
sefaria	Shabbat 38a:1
sefaria	A Dictionary of the Talmud, גַּבַּיִים 1
sefaria	Jerusalem Talmud Demai 2:3:7
sefaria	A Dictionary of the Talmud, גַּדְיָא 1
sefaria	Aramaic Targum to Psalms 114:1
sefaria	A Dictionary of the Talmud, גַּו 1
sefaria	Shabbat 140a:1
sefaria	A Dictionary of the Talmud, גַּוָּוזָא 1
sefaria	Niddah 24b:16
sefaria	A Dictionary of the Talmud, גַּזְלָן 1
sefaria	Jerusalem Talmud Bava Metzia 6:3:5
sefaria	A Dictionary of the Talmud, גַּיָּירָא 1
sefaria	Pesikta Rabbati 21:1
sefaria	A Dictionary of the Talmud, גַּלְגָא 1
sefaria	Aramaic Targum to Psalms 72:3
sefaria	A Dictionary of the Talmud, גַּלֵּי 1
sefaria	Yevamot 121a:13
sefaria	A Dictionary of the Talmud, גַּמְזָא 1
sefaria	Moed Katan 11b:12
sefaria	A Dictionary of the Talmud, גַּמְרִי 1
sefaria	Bereshit Rabbah 75:6
sefaria	A Dictionary of the Talmud, גַּנֵּב 1
sefaria	Mishnah Yoma 5:6
sefaria	A Dictionary of the Talmud, גַּס² 1
sefaria	Aramaic Targum to Psalms 119:117
sefaria	A Dictionary of the Talmud, גַּפָּא 1
sefaria	Ketubot 61a:13
sefaria	A Dictionary of the Talmud, גַּרְגֵּר 1
sefaria	Moed Katan 23a:9
sefaria	A Dictionary of the Talmud, גַּרְמָא 1
sefaria	Tosefta Oholot 15:7
sefaria	A Dictionary of the Talmud, גָּבַהּ 1
sefaria	Mishnah Bava Batra 9:4
sefaria	A Dictionary of the Talmud, גָּדַד 1
sefaria	Bava Batra 36b:7
sefaria	A Dictionary of the Talmud, גָּדָד 1
sefaria	Tosefta Bava Kamma 10:14
sefaria	A Dictionary of the Talmud, גָּזַר 1
sefaria	Targum Jonathan on Joshua 22:10
sefaria	A Dictionary of the Talmud, גָּלָשׁ 1
sefaria	Chullin 74b:4
sefaria	A Dictionary of the Talmud, גָּמַר 1
sefaria	Chullin 94a:5
sefaria	A Dictionary of the Talmud, גָּעַל 1
sefaria	Bava Kamma 85a:19
sefaria	A Dictionary of the Talmud, גָּרַם 1
sefaria	Mishnah Shabbat 8:6
sefaria	A Dictionary of the Talmud, גָּרָב 1
sefaria	Bava Kamma 113b:13
sefaria	A Dictionary of the Talmud, גֻּפַּף 1
sefaria	Targum Jonathan on Amos 7:1
sefaria	A Dictionary of the Talmud, גּוֹבָנִי 1
sefaria	Jerusalem Talmud Bava Metzia 2:3:2
sefaria	A Dictionary of the Talmud, גּוֹזָלָא 1
sefaria	A Dictionary of the Talmud, גּוֹלָנִית 1
sefaria	Sanhedrin 108b:8
sefaria	A Dictionary of the Talmud, גּוּב 1
sefaria	Jerusalem Talmud Avodah Zarah 2:4:9
sefaria	A Dictionary of the Talmud, גּוּד 1
sefaria	Bava Batra 2b:4
sefaria	A Dictionary of the Talmud, גּוּהַרְקָא 1
sefaria	Aramaic Targum to Proverbs 14:13
sefaria	A Dictionary of the Talmud, גּוּלְגֹּלֶת 1
sefaria	Taanit 23b:10
sefaria	A Dictionary of the Talmud, גּוּמַרְתָּא 1
sefaria	Gittin 87b:6
sefaria	A Dictionary of the Talmud, גּוּס 1
sefaria	Berakhot 19a:8
sefaria	A Dictionary of the Talmud, גּוּף² 1
sefaria	Vayikra Rabbah 25:6
sefaria	A Dictionary of the Talmud, גּוּץ² 1
sefaria	Taanit 25a:14
sefaria	A Dictionary of the Talmud, גּוּרְדְּלִי 1
sefaria	Eruvin 29a:9
sefaria	A Dictionary of the Talmud, גּוּשְׁמָא 1
sefaria	Bereshit Rabbah 94:9
sefaria	A Dictionary of the Talmud, גדפה 1
sefaria	Jerusalem Talmud Sotah 9:13:3
sefaria	A Dictionary of the Talmud, גושפנא 1
sefaria	Pesikta Rabbati 15:1
sefaria	A Dictionary of the Talmud, גלקטינון 1
sefaria	Aramaic Targum to Proverbs 29:22
sefaria	A Dictionary of the Talmud, גשׁם 1
sefaria	Targum Jonathan on Jonah 1:10
sefaria	A Dictionary of the Talmud, דְּרִישָׁה 1
sefaria	Sanhedrin 99b:2
sefaria	A Dictionary of the Talmud, דִּישָׁה 1
sefaria	Psalms 2:11
sefaria	A Dictionary of the Talmud, דַּעְתָּא 1
sefaria	Aramaic Targum to Job 41:13
sefaria	A Dictionary of the Talmud, דְּבַח 1
sefaria	Mishnah Terumot 11:2
sefaria	A Dictionary of the Talmud, דְּבוֹרְיָיא 1
sefaria	Jerusalem Talmud Nedarim 7:2:2
sefaria	A Dictionary of the Talmud, דְּהַב 1
sefaria	Aramaic Targum to Psalms 31:11
sefaria	A Dictionary of the Talmud, דְּחַשׁ 1
sefaria	Targum Jonathan on Leviticus 15:3
sefaria	A Dictionary of the Talmud, דְּיוֹקָן 1
sefaria	Shabbat 147b:9
sefaria	A Dictionary of the Talmud, דְּכַר 1
sefaria	Targum of II Chronicles 33:6
sefaria	A Dictionary of the Talmud, דְּלֵיקָה 1
sefaria	Eikhah Rabbah 4:19
sefaria	A Dictionary of the Talmud, דְּמִיכְתָּא 1
sefaria	Onkelos Exodus 20:4
sefaria	A Dictionary of the Talmud, דְּעַץ 1
sefaria	Shabbat 145a:15
sefaria	A Dictionary of the Talmud, דְּרַע² 1
sefaria	Chullin 9a:3
sefaria	A Dictionary of the Talmud, דְּרוֹמְנָה 1
sefaria	Jerusalem Talmud Sanhedrin 10:1:21
sefaria	A Dictionary of the Talmud, דִּבְלָא 1
sefaria	Pesachim 87b:1
sefaria	A Dictionary of the Talmud, דִּדָּה 1
sefaria	Jerusalem Talmud Bava Batra 8:8:4
sefaria	A Dictionary of the Talmud, דִּיבָּא 1
sefaria	Onkelos Exodus 34:28
sefaria	A Dictionary of the Talmud, דִּידְכָאוֹת 1
sefaria	Aramaic Targum to Psalms 65:12
sefaria	A Dictionary of the Talmud, דִּילְדּוּל 1
sefaria	Ezekiel 13:18
sefaria	A Dictionary of the Talmud, דִּילוּג 1
sefaria	Sanhedrin 74b:6
sefaria	A Dictionary of the Talmud, דִּימוֹסְיָא 1
sefaria	Chullin 45a:12
sefaria	A Dictionary of the Talmud, דִּינַסְטִיס 1
sefaria	Bereshit Rabbah 78:12
sefaria	A Dictionary of the Talmud, דִּיסִיקְיָא 1
sefaria	Bereshit Rabbah 59:1
sefaria	A Dictionary of the Talmud, דִּיצָה 1
sefaria	Jerusalem Talmud Berakhot 2:4:5
sefaria	A Dictionary of the Talmud, דִּיקְנֵי 1
sefaria	Eikhah Rabbah 1:1
sefaria	A Dictionary of the Talmud, דִּירְתָּא 1
sefaria	Yoma 68b:7
sefaria	A Dictionary of the Talmud, דִּלְדּוּל 1
sefaria	Jerusalem Talmud Kilayim 5:3:3
sefaria	A Dictionary of the Talmud, דִּסְתָּנָא 1
sefaria	Shabbat 75b:6
sefaria	A Dictionary of the Talmud, דִּקְלָא 1
sefaria	Targum Jonathan on Isaiah 11:7
sefaria	A Dictionary of the Talmud, דֵּינוּ 1
sefaria	Shir HaShirim Rabbah 5:5:1
sefaria	A Dictionary of the Talmud, דֶּרֶךְ דֶּרֶךְ אֶרֶץ 1
sefaria	Avodah Zarah 47a:19
sefaria	A Dictionary of the Talmud, דַּבָּר 1
sefaria	Beitzah 11a:6
sefaria	A Dictionary of the Talmud, דַּוְושָׁא 1
sefaria	Avodah Zarah 26a:16
sefaria	A Dictionary of the Talmud, דַּחֲקוּתָא 1
sefaria	Zevachim 116b:10
sefaria	A Dictionary of the Talmud, דַּיָּין 1
sefaria	Yevamot 75b:4
sefaria	A Dictionary of the Talmud, דַּל 1
sefaria	Bava Batra 16b:10
sefaria	A Dictionary of the Talmud, דַּמְכוּתָא 1
sefaria	Bereshit Rabbah 79:6
sefaria	A Dictionary of the Talmud, דַּק 1
sefaria	Onkelos Genesis 47:31
sefaria	A Dictionary of the Talmud, דַּרְכּוֹן 1
sefaria	Aramaic Targum to Esther 1:6
sefaria	A Dictionary of the Talmud, דָּאַַב 1
sefaria	Jerusalem Talmud Avodah Zarah 2:4:2
sefaria	A Dictionary of the Talmud, דָּגַל 1
sefaria	Yevamot 103a:7
sefaria	A Dictionary of the Talmud, דָּחָה 1
sefaria	Moed Katan 28a:12
sefaria	A Dictionary of the Talmud, דָּמִין 1
sefaria	Yoma 28b:16
sefaria	A Dictionary of the Talmud, דָּר 1
sefaria	Bava Metzia 22b:11
sefaria	A Dictionary of the Talmud, דָּשׁוֹשׁ 1
sefaria	Chagigah 5a:17
sefaria	A Dictionary of the Talmud, דּוֹפֶן 1
sefaria	Bereshit Rabbah 53:8
sefaria	A Dictionary of the Talmud, דּוֹרָנִיָא 1
sefaria	Sanhedrin 101a:12
sefaria	A Dictionary of the Talmud, דּוּדַנְיָא 1
sefaria	Jerusalem Talmud Shabbat 8:3:3
sefaria	A Dictionary of the Talmud, דּוּכָן 1
sefaria	Sifrei Devarim 1:1
sefaria	A Dictionary of the Talmud, דּוּמָה 1
sefaria	Chullin 93b:8
sefaria	A Dictionary of the Talmud, דּוּר 1
sefaria	A Dictionary of the Talmud, דּוּשׁ² 1
sefaria	Bava Batra 64a:7
sefaria	A Dictionary of the Talmud, דאיסרטוס 1
sefaria	Berakhot 44a:4
sefaria	A Dictionary of the Talmud, דיוסטוס 1
sefaria	A Dictionary of the Talmud, דפקא 1
sefaria	Shir HaShirim Rabbah 6:11:1
sefaria	A Dictionary of the Talmud, דשתן 1
sefaria	Targum Jonathan on Genesis 10:10
sefaria	A Dictionary of the Talmud, הֲדוֹרָה 1
sefaria	Sanhedrin 16a:7
sefaria	A Dictionary of the Talmud, הֲלָנָה 1
sefaria	Targum Jonathan on Amos 8:6
sefaria	A Dictionary of the Talmud, הֲפָרָה 1
sefaria	Midrash Tehillim 91:5
sefaria	A Dictionary of the Talmud, הֲרָעָה 1
sefaria	Eruvin 41b:18
sefaria	A Dictionary of the Talmud, הִידוּק 1
sefaria	Shabbat 108a:13
sefaria	A Dictionary of the Talmud, הִילוּךְ 1
sefaria	Pesachim 39a:3
sefaria	A Dictionary of the Talmud, הִינִי 1
sefaria	Pesachim 39a:11
sefaria	A Dictionary of the Talmud, הִמְנוֹן 1
sefaria	Midrash Tehillim 6:2
sefaria	A Dictionary of the Talmud, הִרְהוּר 1
sefaria	Mishnah Avodah Zarah 2:5
sefaria	A Dictionary of the Talmud, הֵיכְמָא 1
sefaria	Mishnah Sukkah 5:7
sefaria	A Dictionary of the Talmud, הֵינוּמָא 1
sefaria	Ecclesiastes 1:2
sefaria	A Dictionary of the Talmud, הֶגְמוֹנְיָא 1
sefaria	Bereshit Rabbah 96:5
sefaria	A Dictionary of the Talmud, הֶזֵק 1
sefaria	Bava Kamma 5a:9
sefaria	A Dictionary of the Talmud, הֶיסֵט 1
sefaria	Jerusalem Talmud Pesachim 6:1:2
sefaria	A Dictionary of the Talmud, הֶכְשֵׁיר 1
sefaria	Kohelet Rabbah 7:19:3
sefaria	A Dictionary of the Talmud, הֶסְפֵּד 1
sefaria	Jerusalem Talmud Pesachim 3:4:2
sefaria	A Dictionary of the Talmud, הֶפְקֵירָא 1
sefaria	Jerusalem Talmud Pesachim 6:1:11
sefaria	A Dictionary of the Talmud, הֶקֵף 1
sefaria	Mishnah Sanhedrin 7:1
sefaria	A Dictionary of the Talmud, הַאֲמָנָה 1
sefaria	Bekhorot 7a:23
sefaria	A Dictionary of the Talmud, הַבָּטָה 1
sefaria	Bamidbar Rabbah 13:2
sefaria	A Dictionary of the Talmud, הַדְיֵיב 1
sefaria	Chullin 76b:14
sefaria	A Dictionary of the Talmud, הַזְכָּרָה 1
sefaria	Mishnah Middot 2:4
sefaria	A Dictionary of the Talmud, הַטָּיָיה 1
sefaria	Vayikra Rabbah 25:5
sefaria	A Dictionary of the Talmud, הַכְחָשָׁה 1
sefaria	Bereshit Rabbah 36:8
sefaria	A Dictionary of the Talmud, הַלְוָיָיה 1
sefaria	Eruvin 54a:5
sefaria	A Dictionary of the Talmud, הַמְרָאָה 1
sefaria	Jerusalem Talmud Berakhot 9:5:7
sefaria	A Dictionary of the Talmud, הַנָּן 1
sefaria	Ketubot 66a:2
sefaria	A Dictionary of the Talmud, הַעֲרָמָה 1
sefaria	Bava Kamma 113b:6
sefaria	A Dictionary of the Talmud, הַצָּעָה 1
sefaria	Pesikta Rabbati 41:1
sefaria	A Dictionary of the Talmud, הַרְדָּפָה 1
sefaria	Chullin 65a:9
sefaria	A Dictionary of the Talmud, הַרְמַנְיָא 1
sefaria	Kiddushin 33a:17
sefaria	A Dictionary of the Talmud, הַשְׁחָתָה 1
sefaria	Tosefta Demai 2:7
sefaria	A Dictionary of the Talmud, הַשְׂכָּלָה 1
sefaria	Jerusalem Talmud Yevamot 12:1:12
sefaria	A Dictionary of the Talmud, הָאַסְטוּ 1
sefaria	Sanhedrin 41b:7
sefaria	A Dictionary of the Talmud, הָלַם 1
sefaria	Midrash Tehillim 39:2
sefaria	A Dictionary of the Talmud, הוֹבְרָיָא 1
sefaria	Jerusalem Talmud Beitzah 5:2:6
sefaria	A Dictionary of the Talmud, הוֹכֵיחַ 1
sefaria	Bereshit Rabbah 72:4
sefaria	A Dictionary of the Talmud, הוֹרָיָה 1
sefaria	Bava Batra 6a:10
sefaria	A Dictionary of the Talmud, הוּפְכָא 1
sefaria	Bereshit Rabbah 37:5
sefaria	A Dictionary of the Talmud, הפרכוס 1
sefaria	Eikhah Rabbah 2:13
sefaria	A Dictionary of the Talmud, וֵושֶׁט 1
sefaria	Gittin 68b:22
sefaria	A Dictionary of the Talmud, וַדָּאָה 1
sefaria	Jerusalem Talmud Megillah 1:9:13
sefaria	A Dictionary of the Talmud, וַרְדּוּנְיָא 1
sefaria	Gittin 59a:3
sefaria	A Dictionary of the Talmud, וואסיא 1
sefaria	Taanit 21b:7
sefaria	A Dictionary of the Talmud, זְגַד 1
sefaria	Onkelos Genesis 38:28
sefaria	A Dictionary of the Talmud, זְחַל 1
sefaria	Megillah 2b:12
sefaria	A Dictionary of the Talmud, זְלִיל 1
sefaria	Aramaic Targum to Psalms 29:9
sefaria	A Dictionary of the Talmud, זְמַם 1
sefaria	Targum Jerusalem, Exodus 28:19
sefaria	A Dictionary of the Talmud, זְנוּ 1
sefaria	Onkelos Leviticus 25:16
sefaria	A Dictionary of the Talmud, זְקִיפָא 1
sefaria	Megillah 16b:10
sefaria	A Dictionary of the Talmud, זְרִיָּה 1
sefaria	Shabbat 91a:4
sefaria	A Dictionary of the Talmud, זְרַז 1
sefaria	Jerusalem Talmud Yevamot 1:6:7
sefaria	A Dictionary of the Talmud, זִיִלָא 1
sefaria	Targum Jonathan on Amos 1:1
sefaria	A Dictionary of the Talmud, זִיּוּף 1
sefaria	Onkelos Leviticus 25:42
sefaria	A Dictionary of the Talmud, זִיהֲרָא 1
sefaria	Targum Jonathan on Ezekiel 24:6
sefaria	A Dictionary of the Talmud, זִיטְמָא 1
sefaria	Pesachim 20b:19
sefaria	A Dictionary of the Talmud, זִימֵי 1
sefaria	Bekhorot 44a:13
sefaria	A Dictionary of the Talmud, זִיקָא 1
sefaria	Jerusalem Talmud Avodah Zarah 2:4:11
sefaria	A Dictionary of the Talmud, זִכָּרוֹן 1
sefaria	Jerusalem Talmud Peah 1:1:18
sefaria	A Dictionary of the Talmud, זִמֵּם 1
sefaria	Beitzah 25a:6
sefaria	A Dictionary of the Talmud, זִעֲזוּעַ 1
sefaria	Jerusalem Talmud Shekalim 5:1:10
sefaria	A Dictionary of the Talmud, זֵיר 1
sefaria	Targum Jonathan on Isaiah 34:9
sefaria	A Dictionary of the Talmud, זֶעְפְּרָנָא 1
sefaria	Mishnah Kelim 23:2
sefaria	A Dictionary of the Talmud, זַבֵּן 1
sefaria	Niddah 17a:3
sefaria	A Dictionary of the Talmud, זַוֵּד 1
sefaria	Sanhedrin 104a:11
sefaria	A Dictionary of the Talmud, זַכְרוּת 1
sefaria	Mishnah Sanhedrin 3:6
sefaria	A Dictionary of the Talmud, זַלְדְּקַן 1
sefaria	Job 20:28
sefaria	A Dictionary of the Talmud, זַרְגּוֹן 1
sefaria	Chullin 88b:9
sefaria	A Dictionary of the Talmud, זָבוֹנָא 1
sefaria	Pirkei Avot 1:8
sefaria	A Dictionary of the Talmud, זָוָוא 1
sefaria	Mishnah Bava Batra 9:6
sefaria	A Dictionary of the Talmud, זָמַם 1
sefaria	Jerusalem Talmud Berakhot 9:5:17
sefaria	A Dictionary of the Talmud, זָקַק 1
sefaria	Makkot 10a:15
sefaria	A Dictionary of the Talmud, זָרוּת 1
sefaria	Mishnah Kelim 23:5
sefaria	A Dictionary of the Talmud, זוֹמָלִיסְטְרוֹן 1
sefaria	Jerusalem Talmud Sanhedrin 10:2:19
sefaria	A Dictionary of the Talmud, זוּגְדּוּס 1
sefaria	Pesachim 42b:15
sefaria	A Dictionary of the Talmud, זוּז² 1
sefaria	Mishnah Bava Batra 5:5
sefaria	A Dictionary of the Talmud, זוּר 1
sefaria	Chullin 7a:2
sefaria	A Dictionary of the Talmud, חֲבִיבְתָּא 1
sefaria	Jerusalem Talmud Avodah Zarah 1:5:3
sefaria	A Dictionary of the Talmud, חֲבֵירוּת 1
sefaria	Shemot Rabbah 6:4
sefaria	A Dictionary of the Talmud, חֲגִיגָה 1
sefaria	Yoma 72a:9
sefaria	A Dictionary of the Talmud, חֲוַר 1
sefaria	Eikhah Rabbah 1:16
sefaria	A Dictionary of the Talmud, חֲזַר 1
sefaria	Mishnah Yevamot 16:7
sefaria	A Dictionary of the Talmud, חֲזוּ 1
sefaria	Berakhot 6a:21
sefaria	A Dictionary of the Talmud, חֲטַב 1
sefaria	Mishnah Shabbat 5:1
sefaria	A Dictionary of the Talmud, חֲיָס 1
sefaria	Jerusalem Talmud Sanhedrin 10:3:3
sefaria	A Dictionary of the Talmud, חֲלִיטָה 1
sefaria	Bava Metzia 46a:5
sefaria	A Dictionary of the Talmud, חֲלִיקָה 1
sefaria	Targum Jonathan on Isaiah 10:15
sefaria	A Dictionary of the Talmud, חֲלַשׁ 1
sefaria	Shabbat 91b:11
sefaria	A Dictionary of the Talmud, חֲלוּקָא 1
sefaria	Sanhedrin 14a:11
sefaria	A Dictionary of the Talmud, חֲמֵיסַר 1
sefaria	Targum Jerusalem, Numbers 6:3
sefaria	A Dictionary of the Talmud, חֲמָת 1
sefaria	Berakhot 24a:19
sefaria	A Dictionary of the Talmud, חֲנִיסְסַיָּא 1
sefaria	Mishnah Makkot 3:16
sefaria	A Dictionary of the Talmud, חֲנָקָא 1
sefaria	Avodah Zarah 20b:10
sefaria	A Dictionary of the Talmud, חֲסִינָה 1
sefaria	Targum Jerusalem, Deuteronomy 3:2
sefaria	A Dictionary of the Talmud, חֲסַל 1
sefaria	Yoma 19a:1
sefaria	A Dictionary of the Talmud, חֲפִירָה 1
sefaria	Aramaic Targum to Proverbs 13:5
sefaria	A Dictionary of the Talmud, חֲצֵי 1
sefaria	Tosefta Oholot 16:7
sefaria	A Dictionary of the Talmud, חֲצָצָא 1
sefaria	Bava Metzia 25a:14
sefaria	A Dictionary of the Talmud, חֲקַק 1
sefaria	Tosefta Maaser Sheni 1:13
sefaria	A Dictionary of the Talmud, חֲרִיפְתָּא 1
sefaria	Mishnah Kelim 13:5
sefaria	A Dictionary of the Talmud, חֲרַז 1
sefaria	Onkelos Leviticus 27:29
sefaria	A Dictionary of the Talmud, חֲרַר 1
sefaria	Niddah 31b:9
sefaria	A Dictionary of the Talmud, חֲרוּב 1
sefaria	Gittin 58a:5
sefaria	A Dictionary of the Talmud, חֲשַׁי 1
sefaria	Chagigah 5a:13
sefaria	A Dictionary of the Talmud, חֲשׁוּבָא 1
sefaria	Mishnah Chullin 7:5
sefaria	A Dictionary of the Talmud, חֲתִימוּתָא 1
sefaria	Jerusalem Talmud Sanhedrin 10:2:14
sefaria	A Dictionary of the Talmud, חִבֵּץ 1
sefaria	Mishnah Peah 8:9
sefaria	A Dictionary of the Talmud, חִזֵּר 1
sefaria	Mishnah Chullin 7:4
sefaria	A Dictionary of the Talmud, חִיֵּב 1
sefaria	Shabbat 2b:7
sefaria	A Dictionary of the Talmud, חִיבּוּל 1
sefaria	Targum Jonathan on Ezekiel 17:2
sefaria	A Dictionary of the Talmud, חִידוּת 1
sefaria	Berakhot 12b:1
sefaria	A Dictionary of the Talmud, חִיטְפָא 1
sefaria	Bava Kamma 80b:10
sefaria	A Dictionary of the Talmud, חִילְתִּין 1
sefaria	Targum Jonathan on Isaiah 24:2
sefaria	A Dictionary of the Talmud, חִילוּל 1
sefaria	Yevamot 63a:12
sefaria	A Dictionary of the Talmud, חִימוּץ 1
sefaria	Bava Kamma 35a:5
sefaria	A Dictionary of the Talmud, חִיסָחוֹן 1
sefaria	Shir HaShirim Rabbah 4:11:1
sefaria	A Dictionary of the Talmud, חִיצוֹן 1
sefaria	Aramaic Targum to Proverbs 30:14
sefaria	A Dictionary of the Talmud, חִיתּוּן 1
sefaria	Mishnah Mikvaot 4:3
sefaria	A Dictionary of the Talmud, חִלְקָא 1
sefaria	Bava Metzia 54a:15
sefaria	A Dictionary of the Talmud, חִלּוּק 1
sefaria	Shabbat 154a:5
sefaria	A Dictionary of the Talmud, חִנָּא 1
sefaria	Targum Jerusalem, Deuteronomy 32:11
sefaria	A Dictionary of the Talmud, חִפָּה 1
sefaria	Shabbat 33b:2
sefaria	A Dictionary of the Talmud, חִתּוּךְ 1
sefaria	Onkelos Genesis 25:27
sefaria	A Dictionary of the Talmud, חֵינָא 1
sefaria	Aramaic Targum to Psalms 58:5
sefaria	A Dictionary of the Talmud, חֵית 1
sefaria	Onkelos Exodus 4:11
sefaria	A Dictionary of the Talmud, חֶבְיוֹנָה 1
sefaria	Jerusalem Talmud Shabbat 6:2:5
sefaria	A Dictionary of the Talmud, חֶזְוֵי 1
sefaria	Chullin 10b:8
sefaria	A Dictionary of the Talmud, חֶלְמָה 1
sefaria	Aramaic Targum to Proverbs 21:24
sefaria	A Dictionary of the Talmud, חֶרֶת 1
sefaria	Ketubot 65a:12
sefaria	A Dictionary of the Talmud, חַבָּר 1
sefaria	Yevamot 116a:3
sefaria	A Dictionary of the Talmud, חַגּוּר פּוּם 1
sefaria	I Chronicles 24:12
sefaria	A Dictionary of the Talmud, חַדֵּת 1
sefaria	Aramaic Targum to Psalms 44:14
sefaria	A Dictionary of the Talmud, חַזֵּי 1
sefaria	Jerusalem Talmud Megillah 4:5:6
sefaria	A Dictionary of the Talmud, חַטּוּתָא 1
sefaria	Kiddushin 69a:5
sefaria	A Dictionary of the Talmud, חַיֵּל 1
sefaria	Mishnah Shabbat 1:3
sefaria	A Dictionary of the Talmud, חַכְרָנוּתָא 1
sefaria	Aramaic Targum to Psalms 35:14
sefaria	A Dictionary of the Talmud, חַלְיָיה 1
sefaria	Mishnah Middot 4:7
sefaria	A Dictionary of the Talmud, חַלֵּי 1
sefaria	Chullin 6b:4
sefaria	A Dictionary of the Talmud, חַלָּא 1
sefaria	Bava Kamma 62a:12
sefaria	A Dictionary of the Talmud, חַמַּר 1
sefaria	Moed Katan 25b:13
sefaria	A Dictionary of the Talmud, חַנְוָנִית 1
sefaria	Mishnah Eduyot 5:6
sefaria	A Dictionary of the Talmud, חַסֵּין 1
sefaria	Jerusalem Talmud Shabbat 7:2:38
sefaria	A Dictionary of the Talmud, חַקְלִיתָא 1
sefaria	Shabbat 123b:7
sefaria	A Dictionary of the Talmud, חַרְדּוֹן 1
sefaria	Mishnah Tahorot 1:2
sefaria	A Dictionary of the Talmud, חַרְצִינִיתָא 1
sefaria	Berakhot 62a:22
sefaria	A Dictionary of the Talmud, חַרֵשׁ 1
sefaria	Aramaic Targum to Psalms 69:24
sefaria	A Dictionary of the Talmud, חָאתֵי 1
sefaria	Mishnah Terumot 10:3
sefaria	A Dictionary of the Talmud, חָבַק 1
sefaria	Berakhot 5b:13
sefaria	A Dictionary of the Talmud, חָזִית 1
sefaria	Ketubot 68a:1
sefaria	A Dictionary of the Talmud, חָטָט 1
sefaria	Chagigah 14a:12
sefaria	A Dictionary of the Talmud, חָלִיט 1
sefaria	Jerusalem Talmud Challah 1:4:5
sefaria	A Dictionary of the Talmud, חָלַץ 1
sefaria	Mishnah Ketubot 13:1
sefaria	A Dictionary of the Talmud, חָלָא 1
sefaria	Tosefta Arakhin 5:5
sefaria	A Dictionary of the Talmud, חָמַר 1
sefaria	Bava Metzia 86b:15
sefaria	A Dictionary of the Talmud, חָנוֹן 1
sefaria	Mishnah Demai 7:3
sefaria	A Dictionary of the Talmud, חָסוּת 1
sefaria	Targum Jonathan on I Kings 18:45
sefaria	A Dictionary of the Talmud, חָצָב 1
sefaria	Jerusalem Talmud Beitzah 1:3:5
sefaria	A Dictionary of the Talmud, חָרְתָּא 1
sefaria	Shemot Rabbah 20:9
sefaria	A Dictionary of the Talmud, חָרַץ 1
sefaria	Midrash Tehillim 118:17
sefaria	A Dictionary of the Talmud, חָרוּת 1
sefaria	Mishnah Shabbat 23:3
sefaria	A Dictionary of the Talmud, חָשַׁק 1
sefaria	A Dictionary of the Talmud, חָתַךְ 1
sefaria	Mishnah Rosh Hashanah 1:9
sefaria	A Dictionary of the Talmud, חוֹבָה 1
sefaria	Tosefta Niddah 6:4
sefaria	A Dictionary of the Talmud, חוֹלִי 1
sefaria	Targum Jonathan on Exodus 23:24
sefaria	A Dictionary of the Talmud, חוֹמֶר 1
sefaria	Ketubot 65a:9
sefaria	A Dictionary of the Talmud, חוֹצֵל 1
sefaria	Menachot 37a:1
sefaria	A Dictionary of the Talmud, חוֹתָל 1
sefaria	A Dictionary of the Talmud, חוּד 1
sefaria	Chullin 93a:5
sefaria	A Dictionary of the Talmud, חוּטָא 1
sefaria	Mishnah Kelim 15:6
sefaria	A Dictionary of the Talmud, חוּלְפָנָא 1
sefaria	Chullin 8b:7
sefaria	A Dictionary of the Talmud, חוּמְצָן 1
sefaria	Gittin 69a:12
sefaria	A Dictionary of the Talmud, חוּסְנָא 1
sefaria	Bava Kamma 96a:10
sefaria	A Dictionary of the Talmud, חוּצְפִּית 1
sefaria	Sanhedrin 96b:10
sefaria	A Dictionary of the Talmud, חוּשׁ 1
sefaria	Targum Jonathan on Genesis 19:11
sefaria	A Dictionary of the Talmud, חלד 1
sefaria	Jerusalem Talmud Kilayim 1:2:4
sefaria	A Dictionary of the Talmud, חרולין 1
sefaria	Targum Jonathan on Amos 4:3
sefaria	A Dictionary of the Talmud, טְבִילָה 1
sefaria	Bereshit Rabbah 31:13
sefaria	A Dictionary of the Talmud, טְוִויָּה 1
sefaria	Gittin 69b:10
sefaria	A Dictionary of the Talmud, טְיָיאר 1
sefaria	Jerusalem Talmud Demai 2:1:9
sefaria	A Dictionary of the Talmud, טְלַם 1
sefaria	Megillah 22b:17
sefaria	A Dictionary of the Talmud, טְלָיוּתָא 1
sefaria	Aramaic Targum to Proverbs 29:25
sefaria	A Dictionary of the Talmud, טְמַע 1
sefaria	Onkelos Numbers 19:18
sefaria	A Dictionary of the Talmud, טְמוֹר 1
sefaria	Psalms 79:5
sefaria	A Dictionary of the Talmud, טְעַן 1
sefaria	Targum Jonathan on Joshua 2:6
