# girsa-ref citation regression corpus. GENERATED by
# girsa-corpus/examples/measure-resolver.rs from Sefaria's link CSVs and
# Otzaria's heRefs. Every line is a citation that genuinely appears in the
# corpus. Do not hand-edit — regenerate.
# source	citation
sefaria	A Dictionary of the Talmud, אַבְרוּרֵי 1
sefaria	Berakhot 40a:14
sefaria	A Dictionary of the Talmud, אַבּוּדְיָנָא 1
sefaria	Targum Jonathan on II Samuel 3:29
sefaria	A Dictionary of the Talmud, אַגְרָא 1
sefaria	Bava Kamma 60b:11
sefaria	A Dictionary of the Talmud, אַדְיוּתָא 1
sefaria	Jerusalem Talmud Maaser Sheni 4:6:9
sefaria	A Dictionary of the Talmud, אַדְרִיב 1
sefaria	Midrash Tanchuma Buber, Bereshit 40:3
sefaria	A Dictionary of the Talmud, אַוְורַקְסִין 1
sefaria	Niddah 30b:18
sefaria	A Dictionary of the Talmud, אַחְמִיתָא 1
sefaria	Jerusalem Talmud Berakhot 6:1:13
sefaria	A Dictionary of the Talmud, אַחֲרָיוּתָא 1
sefaria	Midrash Tanchuma, Balak 11:1
sefaria	A Dictionary of the Talmud, אַיְיבּוּ 1
sefaria	Tosefta Sotah 5:4
sefaria	A Dictionary of the Talmud, אַיְשַׁר 1
sefaria	Aramaic Targum to Job 39:25
sefaria	A Dictionary of the Talmud, אַכְסְנַיי 1
sefaria	Zevachim 94a:13
sefaria	A Dictionary of the Talmud, אַכְסָרָה 1
sefaria	Berakhot 7a:4
sefaria	A Dictionary of the Talmud, אַלְבָּנָא 1
sefaria	Aramaic Targum to Job 3:8
sefaria	A Dictionary of the Talmud, אַלְמִין 1
sefaria	Jerusalem Talmud Shabbat 12:3:2
sefaria	A Dictionary of the Talmud, אַלִיחְרוֹק 1
sefaria	Bava Batra 124a:8
sefaria	A Dictionary of the Talmud, אַלָּמוּתָא 1
sefaria	Jerusalem Talmud Shabbat 8:6:5
sefaria	A Dictionary of the Talmud, אַמְטוּ 1
sefaria	Yoma 16a:9
sefaria	A Dictionary of the Talmud, אַמָּה 1
sefaria	Jerusalem Talmud Sanhedrin 1:2:47
sefaria	A Dictionary of the Talmud, אַנְדְרַאי 1
sefaria	Onkelos Exodus 35:14
sefaria	A Dictionary of the Talmud, אַנְטְרִי 1
sefaria	Bereshit Rabbah 100:9
sefaria	A Dictionary of the Talmud, אַנְטַל 1
sefaria	Targum Jonathan on Genesis 10:18
sefaria	A Dictionary of the Talmud, אַנְפֵּי 1
sefaria	Jerusalem Talmud Bava Metzia 8:9:2
sefaria	A Dictionary of the Talmud, אַנְתּוּסָאֵי 1
sefaria	Bereshit Rabbah 44:12
sefaria	A Dictionary of the Talmud, אַסְכְּלָה 1
sefaria	Jerusalem Talmud Megillah 4:12:5
sefaria	A Dictionary of the Talmud, אַסְפַּלְיָא 1
sefaria	Tosefta Bava Batra 4:1
sefaria	A Dictionary of the Talmud, אַף 1
sefaria	Avodah Zarah 30a:15
sefaria	A Dictionary of the Talmud, אַפְטוּנִיוֹת 1
sefaria	Sanhedrin 100a:4
sefaria	A Dictionary of the Talmud, אַפְרִיקִי 1
sefaria	Jerusalem Talmud Shekalim 2:3:4
sefaria	A Dictionary of the Talmud, אַפְתָּאָה 1
sefaria	Shabbat 12a:9
sefaria	A Dictionary of the Talmud, אַפֵּירֵיטוֹס 1
sefaria	Mishnah Pesachim 8:1
sefaria	A Dictionary of the Talmud, אַפִּיקוֹרָס 1
sefaria	Shemot Rabbah 24:3
sefaria	A Dictionary of the Talmud, אַפּוּפְיָירוּת 1
sefaria	Targum Jonathan on Isaiah 33:20
sefaria	A Dictionary of the Talmud, אַקְלַפְרִין 1
sefaria	Moed Katan 10b:2
sefaria	A Dictionary of the Talmud, אַרְבַּעְתָּא 1
sefaria	Onkelos Exodus 25:4
sefaria	A Dictionary of the Talmud, אַרְגִירָא 1
sefaria	Targum Jonathan on I Kings 5:32
sefaria	A Dictionary of the Talmud, אַרְדָּא 1
sefaria	Jerusalem Talmud Peah 1:1:36
sefaria	A Dictionary of the Talmud, אַרְיוּתָא 1
sefaria	Yalkut Shimoni on Nach 305:1
sefaria	A Dictionary of the Talmud, אַרְכּוֹף 1
sefaria	Targum Jerusalem, Genesis 34:31
sefaria	A Dictionary of the Talmud, אַרְמַנְיָא 1
sefaria	Jerusalem Talmud Ketubot 12:5:4
sefaria	A Dictionary of the Talmud, אַרְקְלִיס 1
sefaria	II Chronicles 1:14
sefaria	A Dictionary of the Talmud, אַשְׁמְדַאי 1
sefaria	Pesachim 113a:9
sefaria	A Dictionary of the Talmud, אַשְׁיָיאן 1
sefaria	Aramaic Targum to Job 1:13
sefaria	A Dictionary of the Talmud, אָב 1
sefaria	Midrash Tanchuma, Emor 18:1
sefaria	A Dictionary of the Talmud, אָגוּסְטְיָאנֵי 1
sefaria	Taanit 20b:6
sefaria	A Dictionary of the Talmud, אָח 1
sefaria	Jerusalem Talmud Maaser Sheni 2:1:10
sefaria	A Dictionary of the Talmud, אָלָל 1
sefaria	Bamidbar Rabbah 15:14
sefaria	A Dictionary of the Talmud, אָנַס 1
sefaria	Chullin 105b:8
sefaria	A Dictionary of the Talmud, אָפִיקִין 1
sefaria	Tosefta Oholot 10:6
sefaria	A Dictionary of the Talmud, אָרְחָא 1
sefaria	Eikhah Rabbah 4:1
sefaria	A Dictionary of the Talmud, אָרִיס 1
sefaria	Bereshit Rabbah 9:3
sefaria	A Dictionary of the Talmud, אָשִׁין 1
sefaria	Bereshit Rabbah 82:8
sefaria	A Dictionary of the Talmud, אבולין 1
sefaria	Mishnah Eruvin 3:4
sefaria	A Dictionary of the Talmud, אברוקלין 1
sefaria	Jerusalem Talmud Berakhot 9:1:10
sefaria	A Dictionary of the Talmud, אגנייה 1
sefaria	Tosefta Demai 4:23
sefaria	A Dictionary of the Talmud, אדק 1
sefaria	Aramaic Targum to Psalms 119:127
sefaria	A Dictionary of the Talmud, אוֹגֶרֶת 1
sefaria	Aramaic Targum to Psalms 7:1
sefaria	A Dictionary of the Talmud, אוֹחְרִי 1
sefaria	Bereshit Rabbah 14:2
sefaria	A Dictionary of the Talmud, אוֹלָר 1
sefaria	Esther Rabbah 3:4
sefaria	A Dictionary of the Talmud, אוֹנִי 1
sefaria	Gittin 34a:13
sefaria	A Dictionary of the Talmud, אוֹנָה² 1
sefaria	Bereshit Rabbah 14:9
sefaria	A Dictionary of the Talmud, אוֹקִימוּתָא 1
sefaria	Jerusalem Talmud Shabbat 10:6:3
sefaria	A Dictionary of the Talmud, אוֹרֶז 1
sefaria	Jerusalem Talmud Bava Batra 8:1:4
sefaria	A Dictionary of the Talmud, אוֹתוֹנִין 1
sefaria	Targum Jonathan on Numbers 19:2
sefaria	A Dictionary of the Talmud, אוּדְנָא 1
sefaria	Tosefta Kelim Batra 5:4
sefaria	A Dictionary of the Talmud, אוּחַדְתָּא 1
sefaria	Onkelos Leviticus 13:31
sefaria	A Dictionary of the Talmud, אוּלְלָא 1
sefaria	Targum of II Chronicles 6:28
sefaria	A Dictionary of the Talmud, אוּמְרִיּוֹת 1
sefaria	Bava Metzia 97a:8
sefaria	A Dictionary of the Talmud, אוּנְפִּילִי 1
sefaria	Jerusalem Talmud Yoma 6:3:7
sefaria	A Dictionary of the Talmud, אוּנָא 1
sefaria	Bava Batra 41b:1
sefaria	A Dictionary of the Talmud, אוּרְזִילָא 1
sefaria	Targum Jonathan on Isaiah 44:14
sefaria	A Dictionary of the Talmud, אוּשׁ 1
sefaria	Taanit 24b:10
sefaria	A Dictionary of the Talmud, אודיאר 1
sefaria	Avodah Zarah 39a:3
sefaria	A Dictionary of the Talmud, אונדא 1
sefaria	Midrash Tanchuma, Terumah 11:1
sefaria	A Dictionary of the Talmud, אוציטילין 1
sefaria	Jerusalem Talmud Avodah Zarah 2:2:5
sefaria	A Dictionary of the Talmud, אזמאזמא 1
sefaria	Zevachim 2a:3
sefaria	A Dictionary of the Talmud, אילוסיס 1
sefaria	Bava Batra 165b:16
sefaria	A Dictionary of the Talmud, איסטנינותיא 1
sefaria	Eikhah Rabbah 2:2
sefaria	A Dictionary of the Talmud, איספקסיטון 1
sefaria	Targum Jerusalem, Exodus 24:10
sefaria	A Dictionary of the Talmud, איצטבלא 1
sefaria	A Dictionary of the Talmud, אכרמוניא 1
sefaria	Jerusalem Talmud Megillah 1:9:2
sefaria	A Dictionary of the Talmud, אנבטי 1
sefaria	Midrash Tehillim 103:2
sefaria	A Dictionary of the Talmud, אנטינינוס 1
sefaria	Berakhot 49b:4
sefaria	A Dictionary of the Talmud, אסטים 1
sefaria	Menachot 103b:20
sefaria	A Dictionary of the Talmud, אסקפטי 1
sefaria	Kohelet Rabbah 3:19:1
sefaria	A Dictionary of the Talmud, אפיקריסין 1
sefaria	Niddah 48b:6
sefaria	A Dictionary of the Talmud, אצטרולוגים 1
sefaria	Yalkut Shimoni on Nach 1053:39
sefaria	A Dictionary of the Talmud, ארכל 1
sefaria	Jerusalem Talmud Avodah Zarah 2:8:10
sefaria	A Dictionary of the Talmud, בְּקַר 1
sefaria	Bamidbar Rabbah 18:10
sefaria	A Dictionary of the Talmud, בִּינָה 1
sefaria	Sotah 11b:8
sefaria	A Dictionary of the Talmud, בֵּיבוֹן 1
sefaria	Targum Jonathan on Isaiah 24:22
sefaria	A Dictionary of the Talmud, בֶּן שְׁמֹנָה 1
sefaria	Tosefta Kelim Kamma 1:6
sefaria	A Dictionary of the Talmud, בַּר אוֹרְיָאן 1
sefaria	Shabbat 3b:1
sefaria	A Dictionary of the Talmud, בַּרְקִית 1
sefaria	Jerusalem Talmud Sanhedrin 2:6:7
sefaria	A Dictionary of the Talmud, בָּצַר 1
sefaria	Jerusalem Talmud Yoma 3:1:2
sefaria	A Dictionary of the Talmud, בְּאֵשׁ 1
sefaria	Bava Batra 167b:15
sefaria	A Dictionary of the Talmud, בְּדִיתָא 1
sefaria	Bereshit Rabbah 2:4
sefaria	A Dictionary of the Talmud, בְּזַז 1
sefaria	Jerusalem Talmud Megillah 1:12:4
sefaria	A Dictionary of the Talmud, בְּטַח 1
sefaria	Targum Jonathan on Exodus 24:10
sefaria	A Dictionary of the Talmud, בְּכַר 1
sefaria	Onkelos Genesis 25:31
sefaria	A Dictionary of the Talmud, בְּלָא² 1
sefaria	Vayikra Rabbah 12:5
sefaria	A Dictionary of the Talmud, בְּנִיסָא 1
sefaria	Jerusalem Talmud Terumot 8:3:32
sefaria	A Dictionary of the Talmud, בְּנָא 1
sefaria	Jerusalem Talmud Pesachim 3:1:5
sefaria	A Dictionary of the Talmud, בְּסַם 1
sefaria	Bava Kamma 27b:10
sefaria	A Dictionary of the Talmud, בְּעֵי 1
sefaria	Targum Jonathan on I Samuel 21:2
sefaria	A Dictionary of the Talmud, בְּעוֹט 1
sefaria	Proverbs 2:4
sefaria	A Dictionary of the Talmud, בְּקִיעָה 1
sefaria	Pesachim 54a:2
sefaria	A Dictionary of the Talmud, בְּרִית! הַבְּרִית! 1
sefaria	Bava Metzia 85a:9
sefaria	A Dictionary of the Talmud, בְּרַי 1
sefaria	Aramaic Targum to Job 25:5
sefaria	A Dictionary of the Talmud, בְּרָכָה 1
sefaria	Berakhot 9b:18
sefaria	A Dictionary of the Talmud, בְּשׂוֹרְתָּא 1
sefaria	Mishnah Bava Batra 4:5
sefaria	A Dictionary of the Talmud, בִּזְתָּא 1
sefaria	Mishnah Eduyot 1:5
sefaria	A Dictionary of the Talmud, בִּיאָה 1
sefaria	Targum of II Chronicles 32:21
sefaria	A Dictionary of the Talmud, בִּיזְרָא 1
sefaria	Berakhot 36b:12
sefaria	A Dictionary of the Talmud, בִּילָה 1
sefaria	Beitzah 28b:3
sefaria	A Dictionary of the Talmud, בִּיסְינָה 1
sefaria	Mishnah Bava Kamma 2:1
sefaria	A Dictionary of the Talmud, בִּיצִית 1
sefaria	Jerusalem Talmud Maasrot 5:3:11
sefaria	A Dictionary of the Talmud, בִּירְיוֹן 1
sefaria	Shabbat 63b:5
sefaria	A Dictionary of the Talmud, בִּישׁוּל 1
sefaria	Moed Katan 9b:4
sefaria	A Dictionary of the Talmud, בִּעְבֵּעַ 1
sefaria	Devarim Rabbah 1:16
sefaria	A Dictionary of the Talmud, בִּרְיָה 1
sefaria	Mishnah Kilayim 9:7
sefaria	A Dictionary of the Talmud, בִּשְׂרוּתָה 1
sefaria	Megillah 16a:9
sefaria	A Dictionary of the Talmud, בֵּי דָרֵי 1
sefaria	Kiddushin 62b:9
sefaria	A Dictionary of the Talmud, בֵּי מַסּוּתָא 1
sefaria	Shabbat 48a:9
sefaria	A Dictionary of the Talmud, בֵּי תְפִילָה 1
sefaria	Mishnah Bava Batra 4:4
sefaria	A Dictionary of the Talmud, בֵּירֵישָׁא 1
sefaria	Mishnah Bava Metzia 1:8
sefaria	A Dictionary of the Talmud, בֵּית גִּלְגּוּל 1
sefaria	Mishnah Tahorot 1:1
sefaria	A Dictionary of the Talmud, בֵּית הַכְּחוֹל 1
sefaria	Sifrei Bamidbar 159:1
sefaria	A Dictionary of the Talmud, בֵּית הַפְּרָס 1
sefaria	Mishnah Kelim 5:4
sefaria	A Dictionary of the Talmud, בֵּית חַיִים 1
sefaria	Vayikra Rabbah 9:3
sefaria	A Dictionary of the Talmud, בֵּיתָא 1
sefaria	Mishnah Beitzah 3:8
sefaria	A Dictionary of the Talmud, בֶּן חוֹרִין 1
sefaria	Shabbat 104b:5
sefaria	A Dictionary of the Talmud, בַּגְדַּל 1
sefaria	Sanhedrin 89b:13
sefaria	A Dictionary of the Talmud, בַּהֵת 1
sefaria	Pesachim 87a:10
sefaria	A Dictionary of the Talmud, בַּיְישָׁא 1
sefaria	Mishnah Sheviit 8:5
sefaria	A Dictionary of the Talmud, בַּלְטִיתָא 1
sefaria	Genesis 38:1
sefaria	A Dictionary of the Talmud, בַּלָּא 1
sefaria	Niddah 52a:18
sefaria	A Dictionary of the Talmud, בַּסְגַר 1
sefaria	Tosefta Bava Batra 4:6
sefaria	A Dictionary of the Talmud, בַּעֲתָא 1
sefaria	Mishnah Shabbat 2:1
sefaria	A Dictionary of the Talmud, בַּעַל מַחְשָׁבוֹת 1
sefaria	Moed Katan 12a:9
sefaria	A Dictionary of the Talmud, בַּקְּרָא 1
sefaria	Chullin 80a:19
sefaria	A Dictionary of the Talmud, בַּר בְּרָא 1
sefaria	Jerusalem Talmud Bava Metzia 2:5:3
sefaria	A Dictionary of the Talmud, בַּרְדְּלָא 1
sefaria	Bava Kamma 56b:6
sefaria	A Dictionary of the Talmud, בַּרְזָנִיתָא 1
sefaria	Mishnah Yoma 3:1
sefaria	A Dictionary of the Talmud, בַּרְקָא³ 1
sefaria	Shabbat 139a:15
sefaria	A Dictionary of the Talmud, בַּשָּׂם 1
sefaria	Chullin 106a:10
sefaria	A Dictionary of the Talmud, בַּת מַזְגָא חַמְרָא 1
sefaria	Berakhot 19a:3
sefaria	A Dictionary of the Talmud, בָּאגָא 1
sefaria	Vayikra Rabbah 30:2
sefaria	A Dictionary of the Talmud, בָּבוּ 1
sefaria	Jerusalem Talmud Chagigah 2:5:2
sefaria	A Dictionary of the Talmud, בָּדָה 1
