# girsa-ref lexicon. GENERATED by girsa-corpus/examples/build-lexicon.rs
# from Sefaria's schemas. Do not hand-edit — regenerate.
# variant	slug	he-title	en-title
'זוה”ק	zohar	ספר הזהר	Zohar
1 Chr	i-chronicles	דברי הימים א	I Chronicles
1 Chron	i-chronicles	דברי הימים א	I Chronicles
1 Chron.	i-chronicles	דברי הימים א	I Chronicles
1 Chronicles	i-chronicles	דברי הימים א	I Chronicles
1 Kgs	i-kings	מלכים א	I Kings
1 Kgs.	i-kings	מלכים א	I Kings
1 Kings	i-kings	מלכים א	I Kings
1 Reg.	i-kings	מלכים א	I Kings
1 Sam	i-samuel	שמואל א	I Samuel
1 Sam.	i-samuel	שמואל א	I Samuel
1 Samuel	i-samuel	שמואל א	I Samuel
138 Gates of Wisdom	kalach-pitchei-chokhmah	קל"ח פתחי חכמה	Kalach Pitchei Chokhmah
1Ch	i-chronicles	דברי הימים א	I Chronicles
1Ch.	i-chronicles	דברי הימים א	I Chronicles
1Sam	i-samuel	שמואל א	I Samuel
1Sam.	i-samuel	שמואל א	I Samuel
2 Chr	ii-chronicles	דברי הימים ב	II Chronicles
2 Chron	ii-chronicles	דברי הימים ב	II Chronicles
2 Chron.	ii-chronicles	דברי הימים ב	II Chronicles
2 Chronicles	ii-chronicles	דברי הימים ב	II Chronicles
2 Kgs	ii-kings	מלכים ב	II Kings
2 Kgs.	ii-kings	מלכים ב	II Kings
2 Kings	ii-kings	מלכים ב	II Kings
2 Reg.	ii-kings	מלכים ב	II Kings
2 Sam	ii-samuel	שמואל ב	II Samuel
2 Sam.	ii-samuel	שמואל ב	II Samuel
2 Samuel	ii-samuel	שמואל ב	II Samuel
2Ch	ii-chronicles	דברי הימים ב	II Chronicles
2Ch.	ii-chronicles	דברי הימים ב	II Chronicles
2Sam	ii-samuel	שמואל ב	II Samuel
2Sam.	ii-samuel	שמואל ב	II Samuel
A Choice of Pearls	mivchar-hapeninim	מבחר הפנינים	Mivchar HaPeninim
A Dictionary of the Talmud	a-dictionary-of-the-talmud	מילון שימושי לתלמוד	A Dictionary of the Talmud
A Jewish Critique of the Philosophy of Martin Buber	a-jewish-critique-of-the-philosophy-of-martin-buber	ביקורת יהודית על הגותו של מרטין בובר	A Jewish Critique of the Philosophy of Martin Buber
A Lifetime Companion to the Laws of Jewish Family Life	a-lifetime-companion-to-the-laws-of-jewish-family-life	מדריך להלכות טהרת המשפחה	A Lifetime Companion to the Laws of Jewish Family Life
A New Israeli Commentary on Pirkei Avot	a-new-israeli-commentary-on-pirkei-avot	פירוש ישראלי חדש על פרקי אבות	A New Israeli Commentary on Pirkei Avot
AHS	arukh-hashulchan	ערוך השולחן	Arukh HaShulchan
ARN	bavli/avot-derabbi-natan	אבות דרבי נתן	Avot DeRabbi Natan
Ab.	pirkei-avot	משנה אבות	Pirkei Avot
Ab. Zar.	bavli/avodah-zarah	עבודה זרה	Avodah Zarah
Ab. d’R. N.	bavli/avot-derabbi-natan	אבות דרבי נתן	Avot DeRabbi Natan
Abad.	bavli/tractate-avadim	מסכת עבדים	Tractate Avadim
Abadim	bavli/tractate-avadim	מסכת עבדים	Tractate Avadim
Abarbanel	abarbanel-on-torah	אברבנאל על תורה	Abarbanel on Torah
Abarbanel on Amos	abarbanel-on-amos	אברבנאל על עמוס	Abarbanel on Amos
Abarbanel on Ezekiel	abarbanel-on-ezekiel	אברבנאל על יחזקאל	Abarbanel on Ezekiel
Abarbanel on Guide for the Perplexed	abarbanel-on-guide-for-the-perplexed	אברבנאל על מורה נבוכים	Abarbanel on Guide for the Perplexed
Abarbanel on Habakkuk	abarbanel-on-habakkuk	אברבנאל על חבקוק	Abarbanel on Habakkuk
Abarbanel on Haggai	abarbanel-on-haggai	אברבנאל על חגי	Abarbanel on Haggai
Abarbanel on Hosea	abarbanel-on-hosea	אברבנאל על הושע	Abarbanel on Hosea
Abarbanel on I Kings	abarbanel-on-i-kings	אברבנאל על מלכים א	Abarbanel on I Kings
Abarbanel on I Samuel	abarbanel-on-i-samuel	אברבנאל על שמואל א	Abarbanel on I Samuel
Abarbanel on II Kings	abarbanel-on-ii-kings	אברבנאל על מלכים ב	Abarbanel on II Kings
Abarbanel on II Samuel	abarbanel-on-ii-samuel	אברבנאל על שמואל ב	Abarbanel on II Samuel
Abarbanel on Isaiah	abarbanel-on-isaiah	אברבנאל על ישעיהו	Abarbanel on Isaiah
Abarbanel on Jeremiah	abarbanel-on-jeremiah	אברבנאל על ירמיהו	Abarbanel on Jeremiah
Abarbanel on Joel	abarbanel-on-joel	אברבנאל על יואל	Abarbanel on Joel
Abarbanel on Jonah	abarbanel-on-jonah	אברבנאל על יונה	Abarbanel on Jonah
Abarbanel on Joshua	abarbanel-on-joshua	אברבנאל על יהושע	Abarbanel on Joshua
Abarbanel on Judges	abarbanel-on-judges	אברבנאל על שופטים	Abarbanel on Judges
Abarbanel on Malachi	abarbanel-on-malachi	אברבנאל על מלאכי	Abarbanel on Malachi
Abarbanel on Micah	abarbanel-on-micah	אברבנאל על מיכה	Abarbanel on Micah
Abarbanel on Nahum	abarbanel-on-nahum	אברבנאל על נחום	Abarbanel on Nahum
Abarbanel on Obadiah	abarbanel-on-obadiah	אברבנאל על עובדיה	Abarbanel on Obadiah
Abarbanel on Torah	abarbanel-on-torah	אברבנאל על תורה	Abarbanel on Torah
Abarbanel on Zechariah	abarbanel-on-zechariah	אברבנאל על זכריה	Abarbanel on Zechariah
Abarbanel on Zephaniah	abarbanel-on-zephaniah	אברבנאל על צפניה	Abarbanel on Zephaniah
Abdias	obadiah	עובדיה	Obadiah
Aben Ezra, Eben Ezra on Est	second-version-of-ibn-ezra-on-esther	אבן עזרא מהדורא תניינא על אסתר	Second Version of Ibn Ezra on Esther
Aben Ezra, Eben Ezra on Est.	second-version-of-ibn-ezra-on-esther	אבן עזרא מהדורא תניינא על אסתר	Second Version of Ibn Ezra on Esther
Aben Ezra, Eben Ezra on Ester	second-version-of-ibn-ezra-on-esther	אבן עזרא מהדורא תניינא על אסתר	Second Version of Ibn Ezra on Esther
Aben Ezra, Eben Ezra on Esther	second-version-of-ibn-ezra-on-esther	אבן עזרא מהדורא תניינא על אסתר	Second Version of Ibn Ezra on Esther
Abenezra on Est	second-version-of-ibn-ezra-on-esther	אבן עזרא מהדורא תניינא על אסתר	Second Version of Ibn Ezra on Esther
Abenezra on Est.	second-version-of-ibn-ezra-on-esther	אבן עזרא מהדורא תניינא על אסתר	Second Version of Ibn Ezra on Esther
Abenezra on Ester	second-version-of-ibn-ezra-on-esther	אבן עזרא מהדורא תניינא על אסתר	Second Version of Ibn Ezra on Esther
Abenezra on Esther	second-version-of-ibn-ezra-on-esther	אבן עזרא מהדורא תניינא על אסתר	Second Version of Ibn Ezra on Esther
Abodah Zarah	bavli/avodah-zarah	עבודה זרה	Avodah Zarah
Aboth	pirkei-avot	משנה אבות	Pirkei Avot
Aboth d. R. Nathan	bavli/avot-derabbi-natan	אבות דרבי נתן	Avot DeRabbi Natan
Aboth d. R. Nathan (a)	bavli/avot-derabbi-natan	אבות דרבי נתן	Avot DeRabbi Natan
Aboth de R. Nathan	bavli/avot-derabbi-natan	אבות דרבי נתן	Avot DeRabbi Natan
Aboth d’Rabbi Nathan	bavli/avot-derabbi-natan	אבות דרבי נתן	Avot DeRabbi Natan
Abraham Cohen Footnotes to the English Translation of Masechet Berakhot	bavli/abraham-cohen-footnotes-to-the-english-translation-of-masechet-berakhot	הערות באנגלית של אברהם כהן על מסכת ברכות	Abraham Cohen Footnotes to the English Translation of Masechet Berakhot
Abudarham	abudarham	אבודרהם	Abudarham
Adam Min HaAdamah	adam-min-haadamah	אדם מן האדמה	Adam Min HaAdamah
Aderet Eliyahu	aderet-eliyahu	אדרת אליהו	Aderet Eliyahu
Aderet Eliyahu (Rabbi Yosef Chaim)	aderet-eliyahu-rabbi-yosef-chaim	אדרת אליהו (ר' יוסף חיים)	Aderet Eliyahu (Rabbi Yosef Chaim)
Admat Kodesh	admat-kodesh	אדמת קודש	Admat Kodesh
Agadat Mishle	midrash-mishlei	מדרש משלי	Midrash Mishlei
Against Apion	against-apion	קדמות היהודים	Against Apion
Against Flaccus	against-flaccus	נגד פלאקוס	Against Flaccus
Aggadat Bereshit	aggadat-bereshit	אגדת בראשית	Aggadat Bereshit
Aggée	haggai	חגי	Haggai
Agra DeKala	agra-dekala	אגרא דכלה	Agra DeKala
Ahavas Chesed	ahavat-chesed	אהבת חסד	Ahavat Chesed
Ahavat Chesed	ahavat-chesed	אהבת חסד	Ahavat Chesed
Ahavat David	ahavat-david	אהבת דוד	Ahavat David
Ahavat Yehonatan	ahavat-yehonatan	אהבת יהונתן	Ahavat Yehonatan
Ahavat Yisrael	ahavat-yisrael	אהבת ישראל	Ahavat Yisrael
Ahevucha; Discourses on Kiddush Hashem	bavli/ahevukha-ad-mavet	אֲהֵבוּךָ עַד מָוֶת	Ahevukha Ad Mavet
Ahevukha Ad Mavet	bavli/ahevukha-ad-mavet	אֲהֵבוּךָ עַד מָוֶת	Ahevukha Ad Mavet
Ahevukha; Discourses on Kiddush Hashem	bavli/ahevukha-ad-mavet	אֲהֵבוּךָ עַד מָוֶת	Ahevukha Ad Mavet
Akdamut	akdamut-milin	אַקְדָּמוּת מִלִּין	Akdamut Milin
Akdamut Milin	akdamut-milin	אַקְדָּמוּת מִלִּין	Akdamut Milin
Akeida	akeidat-yitzchak	עקידת יצחק	Akeidat Yitzchak
Akeidat Yitzchak	akeidat-yitzchak	עקידת יצחק	Akeidat Yitzchak
Al Kapot HaMan'ul; Homilies for the Days of Awe	al-kapot-hamanul-homilies-for-the-days-of-awe	על כפות המנעול; דרשות לימי התשובה וליום הכיפורים	Al Kapot HaMan'ul; Homilies for the Days of Awe
Ali Be'er	ali-beer-on-revealment-and-concealment-in-language	עלי באר על גילוי וכיסוי בלשון	Ali Be'er on Revealment and Concealment in Language
Ali Be'er on Revealment and Concealment in Language	ali-beer-on-revealment-and-concealment-in-language	עלי באר על גילוי וכיסוי בלשון	Ali Be'er on Revealment and Concealment in Language
Allegorical Interpretation of Genesis	allegorical-interpretation-of-genesis	אליגוריות החוקים	Allegorical Interpretation of Genesis
Alon Bakhut on Lamentations	alon-bakhut-on-lamentations	אלון בכות על איכה	Alon Bakhut on Lamentations
Alshekh on Torah	alshekh-on-torah	תורת משה - אלשיך	Alshekh on Torah
Alshich on Ecclesiastes	devarim-tovim-on-ecclesiastes	דברים טובים על קהלת	Devarim Tovim on Ecclesiastes
Alshich on Esther	masat-moshe-on-esther	משאת משה על אסתר	Masat Moshe on Esther
Alshich on Job	chelkat-mechokek-on-job	חלקת מחוקק על איוב	Chelkat Mechokek on Job
Alshich on Lamentations	devarim-nichumim-on-lamentations	דברים ניחומים על איכה	Devarim Nichumim on Lamentations
Alshich on Psalms	romemot-el-on-psalms	רוממות אל על תהילים	Romemot El on Psalms
Alshich on Ruth	einei-moshe-on-ruth	עיני משה על רות	Einei Moshe on Ruth
Alshich on Song of Songs	shoshanat-haamakim-on-song-of-songs	שושנת העמקים על שיר השירים	Shoshanat HaAmakim on Song of Songs
Alshich on Torah	alshekh-on-torah	תורת משה - אלשיך	Alshekh on Torah
Alshikh on Torah	alshekh-on-torah	תורת משה - אלשיך	Alshekh on Torah
Am.	amos	עמוס	Amos
Amar Naka	bartenura-on-torah	ברטנורא על התורה	Bartenura on Torah
Amos	amos	עמוס	Amos
Amudei Yerushalayim on Jerusalem Talmud Avodah Zarah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-avodah-zarah	עמודי ירושלים על תלמוד ירושלמי עבודה זרה	Amudei Yerushalayim on Jerusalem Talmud Avodah Zarah
Amudei Yerushalayim on Jerusalem Talmud Bava Batra	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-bava-batra	עמודי ירושלים על תלמוד ירושלמי בבא בתרא	Amudei Yerushalayim on Jerusalem Talmud Bava Batra
Amudei Yerushalayim on Jerusalem Talmud Bava Kamma	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-bava-kamma	עמודי ירושלים על תלמוד ירושלמי בבא קמא	Amudei Yerushalayim on Jerusalem Talmud Bava Kamma
Amudei Yerushalayim on Jerusalem Talmud Bava Metzia	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-bava-metzia	עמודי ירושלים על תלמוד ירושלמי בבא מציעא	Amudei Yerushalayim on Jerusalem Talmud Bava Metzia
Amudei Yerushalayim on Jerusalem Talmud Beitzah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-beitzah	עמודי ירושלים על תלמוד ירושלמי ביצה	Amudei Yerushalayim on Jerusalem Talmud Beitzah
Amudei Yerushalayim on Jerusalem Talmud Berakhot	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-berakhot	עמודי ירושלים על תלמוד ירושלמי ברכות	Amudei Yerushalayim on Jerusalem Talmud Berakhot
Amudei Yerushalayim on Jerusalem Talmud Bikkurim	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-bikkurim	עמודי ירושלים על תלמוד ירושלמי בכורים	Amudei Yerushalayim on Jerusalem Talmud Bikkurim
Amudei Yerushalayim on Jerusalem Talmud Chagigah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-chagigah	עמודי ירושלים על תלמוד ירושלמי חגיגה	Amudei Yerushalayim on Jerusalem Talmud Chagigah
Amudei Yerushalayim on Jerusalem Talmud Challah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-challah	עמודי ירושלים על תלמוד ירושלמי חלה	Amudei Yerushalayim on Jerusalem Talmud Challah
Amudei Yerushalayim on Jerusalem Talmud Demai	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-demai	עמודי ירושלים על תלמוד ירושלמי דמאי	Amudei Yerushalayim on Jerusalem Talmud Demai
Amudei Yerushalayim on Jerusalem Talmud Eruvin	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-eruvin	עמודי ירושלים על תלמוד ירושלמי עירובין	Amudei Yerushalayim on Jerusalem Talmud Eruvin
Amudei Yerushalayim on Jerusalem Talmud Gittin	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-gittin	עמודי ירושלים על תלמוד ירושלמי גיטין	Amudei Yerushalayim on Jerusalem Talmud Gittin
Amudei Yerushalayim on Jerusalem Talmud Horayot	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-horayot	עמודי ירושלים על תלמוד ירושלמי הוריות	Amudei Yerushalayim on Jerusalem Talmud Horayot
Amudei Yerushalayim on Jerusalem Talmud Ketubot	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-ketubot	עמודי ירושלים על תלמוד ירושלמי כתובות	Amudei Yerushalayim on Jerusalem Talmud Ketubot
Amudei Yerushalayim on Jerusalem Talmud Kiddushin	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-kiddushin	עמודי ירושלים על תלמוד ירושלמי קידושין	Amudei Yerushalayim on Jerusalem Talmud Kiddushin
Amudei Yerushalayim on Jerusalem Talmud Kilayim	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-kilayim	עמודי ירושלים על תלמוד ירושלמי כלאים	Amudei Yerushalayim on Jerusalem Talmud Kilayim
Amudei Yerushalayim on Jerusalem Talmud Maaser Sheni	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-maaser-sheni	עמודי ירושלים על תלמוד ירושלמי מעשר שני	Amudei Yerushalayim on Jerusalem Talmud Maaser Sheni
Amudei Yerushalayim on Jerusalem Talmud Makkot	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-makkot	עמודי ירושלים על תלמוד ירושלמי מכות	Amudei Yerushalayim on Jerusalem Talmud Makkot
Amudei Yerushalayim on Jerusalem Talmud Megillah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-megillah	עמודי ירושלים על תלמוד ירושלמי מגילה	Amudei Yerushalayim on Jerusalem Talmud Megillah
Amudei Yerushalayim on Jerusalem Talmud Moed Katan	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-moed-katan	עמודי ירושלים על תלמוד ירושלמי מועד קטן	Amudei Yerushalayim on Jerusalem Talmud Moed Katan
Amudei Yerushalayim on Jerusalem Talmud Nazir	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-nazir	עמודי ירושלים על תלמוד ירושלמי נזיר	Amudei Yerushalayim on Jerusalem Talmud Nazir
Amudei Yerushalayim on Jerusalem Talmud Nedarim	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-nedarim	עמודי ירושלים על תלמוד ירושלמי נדרים	Amudei Yerushalayim on Jerusalem Talmud Nedarim
Amudei Yerushalayim on Jerusalem Talmud Niddah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-niddah	עמודי ירושלים על תלמוד ירושלמי נדה	Amudei Yerushalayim on Jerusalem Talmud Niddah
Amudei Yerushalayim on Jerusalem Talmud Orlah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-orlah	עמודי ירושלים על תלמוד ירושלמי ערלה	Amudei Yerushalayim on Jerusalem Talmud Orlah
Amudei Yerushalayim on Jerusalem Talmud Peah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-peah	עמודי ירושלים על תלמוד ירושלמי פאה	Amudei Yerushalayim on Jerusalem Talmud Peah
Amudei Yerushalayim on Jerusalem Talmud Pesachim	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-pesachim	עמודי ירושלים על תלמוד ירושלמי פסחים	Amudei Yerushalayim on Jerusalem Talmud Pesachim
Amudei Yerushalayim on Jerusalem Talmud Rosh Hashanah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-rosh-hashanah	עמודי ירושלים על תלמוד ירושלמי ראש השנה	Amudei Yerushalayim on Jerusalem Talmud Rosh Hashanah
Amudei Yerushalayim on Jerusalem Talmud Sanhedrin	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-sanhedrin	עמודי ירושלים על תלמוד ירושלמי סנהדרין	Amudei Yerushalayim on Jerusalem Talmud Sanhedrin
Amudei Yerushalayim on Jerusalem Talmud Shabbat	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-shabbat	עמודי ירושלים על תלמוד ירושלמי שבת	Amudei Yerushalayim on Jerusalem Talmud Shabbat
Amudei Yerushalayim on Jerusalem Talmud Shekalim	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-shekalim	עמודי ירושלים על תלמוד ירושלמי שקלים	Amudei Yerushalayim on Jerusalem Talmud Shekalim
Amudei Yerushalayim on Jerusalem Talmud Shevuot	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-shevuot	עמודי ירושלים על תלמוד ירושלמי שבועות	Amudei Yerushalayim on Jerusalem Talmud Shevuot
Amudei Yerushalayim on Jerusalem Talmud Sotah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-sotah	עמודי ירושלים על תלמוד ירושלמי סוטה	Amudei Yerushalayim on Jerusalem Talmud Sotah
Amudei Yerushalayim on Jerusalem Talmud Sukkah	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-sukkah	עמודי ירושלים על תלמוד ירושלמי סוכה	Amudei Yerushalayim on Jerusalem Talmud Sukkah
Amudei Yerushalayim on Jerusalem Talmud Taanit	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-taanit	עמודי ירושלים על תלמוד ירושלמי תענית	Amudei Yerushalayim on Jerusalem Talmud Taanit
Amudei Yerushalayim on Jerusalem Talmud Terumot	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-terumot	עמודי ירושלים על תלמוד ירושלמי תרומות	Amudei Yerushalayim on Jerusalem Talmud Terumot
Amudei Yerushalayim on Jerusalem Talmud Yevamot	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-yevamot	עמודי ירושלים על תלמוד ירושלמי יבמות	Amudei Yerushalayim on Jerusalem Talmud Yevamot
Amudei Yerushalayim on Jerusalem Talmud Yoma	yerushalmi/amudei-yerushalayim-on-jerusalem-talmud-yoma	עמודי ירושלים על תלמוד ירושלמי יומא	Amudei Yerushalayim on Jerusalem Talmud Yoma
Animadversions by Elias Levita on Sefer HaShorashim	animadversions-by-elias-levita-on-sefer-hashorashim	נימוקי רבי אליהו בחור על ספר השרשים	Animadversions by Elias Levita on Sefer HaShorashim
Annotations of Maharatz Chajes on Mishneh Torah, Admission into the Sanctuary	annotations-of-maharatz-chajes-on-mishneh-torah/admission-into-the-sanctuary	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות ביאת מקדש	Annotations of Maharatz Chajes on Mishneh Torah, Admission into the Sanctuary
Annotations of Maharatz Chajes on Mishneh Torah, Damages to Property	annotations-of-maharatz-chajes-on-mishneh-torah/damages-to-property	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות נזקי ממון	Annotations of Maharatz Chajes on Mishneh Torah, Damages to Property
Annotations of Maharatz Chajes on Mishneh Torah, Forbidden Intercourse	annotations-of-maharatz-chajes-on-mishneh-torah/forbidden-intercourse	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות איסורי ביאה	Annotations of Maharatz Chajes on Mishneh Torah, Forbidden Intercourse
Annotations of Maharatz Chajes on Mishneh Torah, Foreign Worship and Customs of the Nations	annotations-of-maharatz-chajes-on-mishneh-torah/foreign-worship-and-customs-of-the-nations	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות עבודה זרה וחוקות הגויים	Annotations of Maharatz Chajes on Mishneh Torah, Foreign Worship and Customs of the Nations
Annotations of Maharatz Chajes on Mishneh Torah, Foundations of the Torah	annotations-of-maharatz-chajes-on-mishneh-torah/foundations-of-the-torah	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות יסודי התורה	Annotations of Maharatz Chajes on Mishneh Torah, Foundations of the Torah
Annotations of Maharatz Chajes on Mishneh Torah, Human Dispositions	annotations-of-maharatz-chajes-on-mishneh-torah/human-dispositions	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות דעות	Annotations of Maharatz Chajes on Mishneh Torah, Human Dispositions
Annotations of Maharatz Chajes on Mishneh Torah, Kings and Wars	annotations-of-maharatz-chajes-on-mishneh-torah/kings-and-wars	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות מלכים ומלחמות	Annotations of Maharatz Chajes on Mishneh Torah, Kings and Wars
Annotations of Maharatz Chajes on Mishneh Torah, Leavened and Unleavened Bread	annotations-of-maharatz-chajes-on-mishneh-torah/leavened-and-unleavened-bread	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות חמץ ומצה	Annotations of Maharatz Chajes on Mishneh Torah, Leavened and Unleavened Bread
Annotations of Maharatz Chajes on Mishneh Torah, Marriage	annotations-of-maharatz-chajes-on-mishneh-torah/marriage	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות אישות	Annotations of Maharatz Chajes on Mishneh Torah, Marriage
Annotations of Maharatz Chajes on Mishneh Torah, Mourning	annotations-of-maharatz-chajes-on-mishneh-torah/mourning	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות אבל	Annotations of Maharatz Chajes on Mishneh Torah, Mourning
Annotations of Maharatz Chajes on Mishneh Torah, Murderer and the Preservation of Life	annotations-of-maharatz-chajes-on-mishneh-torah/murderer-and-the-preservation-of-life	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות רוצח ושמירת נפש	Annotations of Maharatz Chajes on Mishneh Torah, Murderer and the Preservation of Life
Annotations of Maharatz Chajes on Mishneh Torah, Prayer and the Priestly Blessing	annotations-of-maharatz-chajes-on-mishneh-torah/prayer-and-the-priestly-blessing	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות תפילה וברכת כהנים	Annotations of Maharatz Chajes on Mishneh Torah, Prayer and the Priestly Blessing
Annotations of Maharatz Chajes on Mishneh Torah, Rebels	annotations-of-maharatz-chajes-on-mishneh-torah/rebels	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות ממרים	Annotations of Maharatz Chajes on Mishneh Torah, Rebels
Annotations of Maharatz Chajes on Mishneh Torah, Repentance	annotations-of-maharatz-chajes-on-mishneh-torah/repentance	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות תשובה	Annotations of Maharatz Chajes on Mishneh Torah, Repentance
Annotations of Maharatz Chajes on Mishneh Torah, Sabbath	annotations-of-maharatz-chajes-on-mishneh-torah/sabbath	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות שבת	Annotations of Maharatz Chajes on Mishneh Torah, Sabbath
Annotations of Maharatz Chajes on Mishneh Torah, Sanctification of the New Month	annotations-of-maharatz-chajes-on-mishneh-torah/sanctification-of-the-new-month	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות קידוש החודש	Annotations of Maharatz Chajes on Mishneh Torah, Sanctification of the New Month
Annotations of Maharatz Chajes on Mishneh Torah, Service on the Day of Atonement	annotations-of-maharatz-chajes-on-mishneh-torah/service-on-the-day-of-atonement	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות עבודת יום הכפורים	Annotations of Maharatz Chajes on Mishneh Torah, Service on the Day of Atonement
Annotations of Maharatz Chajes on Mishneh Torah, Shofar, Sukkah and Lulav	annotations-of-maharatz-chajes-on-mishneh-torah/shofar/sukkah-and-lulav	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות שופר וסוכה ולולב	Annotations of Maharatz Chajes on Mishneh Torah, Shofar, Sukkah and Lulav
Annotations of Maharatz Chajes on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll	annotations-of-maharatz-chajes-on-mishneh-torah/tefillin/mezuzah-and-the-torah-scroll	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות תפילין ומזוזה וספר תורה	Annotations of Maharatz Chajes on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll
Annotations of Maharatz Chajes on Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction	annotations-of-maharatz-chajes-on-mishneh-torah/the-sanhedrin-and-the-penalties-within-their-jurisdiction	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות סנהדרין והעונשין המסורין להם	Annotations of Maharatz Chajes on Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction
Annotations of Maharatz Chajes on Mishneh Torah, Torah Study	annotations-of-maharatz-chajes-on-mishneh-torah/torah-study	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות תלמוד תורה	Annotations of Maharatz Chajes on Mishneh Torah, Torah Study
Annotations of Maharatz Chajes on Mishneh Torah, Woman Suspected of Infidelity	annotations-of-maharatz-chajes-on-mishneh-torah/woman-suspected-of-infidelity	חידושים ומקורים מהר"ץ חיות על משנה תורה, הלכות סוטה	Annotations of Maharatz Chajes on Mishneh Torah, Woman Suspected of Infidelity
Annotations of Minchat Chinukh on Mishneh Torah, Admission into the Sanctuary	annotations-of-minchat-chinukh-on-mishneh-torah/admission-into-the-sanctuary	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות ביאת מקדש	Annotations of Minchat Chinukh on Mishneh Torah, Admission into the Sanctuary
Annotations of Minchat Chinukh on Mishneh Torah, Appraisals and Devoted Property	annotations-of-minchat-chinukh-on-mishneh-torah/appraisals-and-devoted-property	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות ערכים וחרמין	Annotations of Minchat Chinukh on Mishneh Torah, Appraisals and Devoted Property
Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings	annotations-of-minchat-chinukh-on-mishneh-torah/daily-offerings-and-additional-offerings	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות תמידים ומוספין	Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings
